"ID","Name","Pos","Team","Price","xPts 1","xMin 1","xPts 2","xMin 2","xPts 3","xMin 3","xPts 4","xMin 4","xPts 5","xMin 5","xPts GW1-38"
"222","Ayling","DEF","LEE","4.5","1.23","NaN","0.96","NaN","0.81","NaN","0.88","NaN","1.19","NaN","34.72"
"429","Doherty","DEF","TOT","5","1.50","NaN","0.95","NaN","1.52","NaN","1.37","NaN","1.17","NaN","48.03"
"413","Lyanco","DEF","SOU","4.5","0.64","NaN","0.95","NaN","0.79","NaN","0.82","NaN","0.79","NaN","32.00"
"274","Milner","MID","LIV","4.5","0.90","NaN","0.92","NaN","0.86","NaN","0.97","NaN","0.91","NaN","34.15"
"215","Tete","DEF","FUL","4.5","0.63","NaN","0.92","NaN","1.00","NaN","0.70","NaN","0.96","NaN","32.17"
"105","Duffy","DEF","BHA","4.5","0.65","NaN","0.90","NaN","0.74","NaN","0.94","NaN","0.81","NaN","30.49"
"73","Kelly","DEF","BOU","4.5","2.89","NaN","0.89","NaN","2.41","NaN","1.02","NaN","3.41","NaN","93.94"
"251","Albrighton","MID","LEI","5","1.04","NaN","0.89","NaN","1.07","NaN","0.85","NaN","0.98","NaN","36.70"
"294","Elliott","MID","LIV","5","0.86","NaN","0.88","NaN","0.82","NaN","0.95","NaN","0.88","NaN","32.79"
"417","Perraud","DEF","SOU","4.5","0.53","NaN","0.88","NaN","0.69","NaN","0.72","NaN","0.68","NaN","28.36"
"270","Thomas","DEF","LEI","4.5","1.23","NaN","0.83","NaN","1.25","NaN","0.77","NaN","0.99","NaN","39.26"
"57","A Smith","DEF","BOU","4.5","2.69","NaN","0.81","NaN","2.25","NaN","0.93","NaN","3.18","NaN","87.32"
"325","K Phillips","MID","MCI","5","0.73","NaN","0.81","NaN","0.72","NaN","0.77","NaN","0.80","NaN","28.44"
"336","van de Beek","MID","MUN","5.5","0.82","NaN","0.80","NaN","0.74","NaN","0.82","NaN","0.79","NaN","30.56"
"71","Mepham","DEF","BOU","4.5","2.57","NaN","0.77","NaN","2.15","NaN","0.88","NaN","3.05","NaN","83.49"
"76","Zemura","DEF","BOU","4.5","2.01","NaN","0.76","NaN","1.71","NaN","0.85","NaN","2.31","NaN","66.39"
"445","Emerson R","DEF","TOT","5","1.20","NaN","0.76","NaN","1.23","NaN","1.10","NaN","0.92","NaN","38.30"
"141","T Chalobah","DEF","CHE","5","0.85","NaN","0.74","NaN","0.80","NaN","0.86","NaN","0.83","NaN","30.92"
"489","Toti","DEF","WOL","4","0.62","NaN","0.74","NaN","0.45","NaN","0.72","NaN","0.70","NaN","24.00"
"59","Fredericks","DEF","BOU","4.5","2.05","NaN","0.73","NaN","1.74","NaN","0.82","NaN","2.40","NaN","67.56"
"230","Koch","DEF","LEE","4.5","0.90","NaN","0.73","NaN","0.64","NaN","0.69","NaN","0.88","NaN","26.73"
"163","W Hughes","MID","CRY","5","0.82","NaN","0.73","NaN","0.85","NaN","0.71","NaN","0.88","NaN","31.41"
"6","Partey","MID","ARS","5","0.65","NaN","0.73","NaN","0.71","NaN","0.75","NaN","0.71","NaN","25.79"
"292","Tsimikas","DEF","LIV","4.5","0.64","NaN","0.73","NaN","0.53","NaN","0.78","NaN","0.69","NaN","24.43"
"173","Ebiowei","MID","CRY","4.5","0.80","NaN","0.72","NaN","0.83","NaN","0.70","NaN","0.85","NaN","30.72"
"223","Klich","MID","LEE","5","0.74","NaN","0.70","NaN","0.67","NaN","0.67","NaN","0.74","NaN","26.31"
"90","Roerslev","DEF","BRE","4.5","0.67","NaN","0.70","NaN","0.73","NaN","0.87","NaN","0.76","NaN","27.32"
"308","Ake","DEF","MCI","5","0.57","NaN","0.70","NaN","0.58","NaN","0.67","NaN","0.70","NaN","23.03"
"206","Bryan","DEF","FUL","4.5","0.47","NaN","0.69","NaN","0.76","NaN","0.52","NaN","0.73","NaN","24.24"
"158","Milivojevic","MID","CRY","4.5","0.77","NaN","0.67","NaN","0.80","NaN","0.66","NaN","0.83","NaN","29.57"
"466","Vlasic","MID","WHU","5","0.60","NaN","0.67","NaN","0.67","NaN","0.64","NaN","0.64","NaN","24.91"
"156","J Ward","DEF","CRY","4.5","1.19","NaN","0.66","NaN","1.36","NaN","0.62","NaN","1.45","NaN","45.76"
"32","Chambers","DEF","AVL","4.5","0.59","NaN","0.65","NaN","0.56","NaN","0.58","NaN","0.44","NaN","20.42"
"416","I Diallo","MID","SOU","4.5","0.58","NaN","0.65","NaN","0.60","NaN","0.62","NaN","0.60","NaN","23.26"
"418","Djenepo","MID","SOU","5","0.54","NaN","0.65","NaN","0.57","NaN","0.59","NaN","0.56","NaN","22.09"
"0","Young","DEF","AVL","3","0.58","NaN","0.62","NaN","0.56","NaN","0.58","NaN","0.49","NaN","20.77"
"214","Cavaleiro","MID","FUL","5","0.57","NaN","0.61","NaN","0.65","NaN","0.57","NaN","0.62","NaN","23.14"
"370","S Longstaff","MID","NEW","4.5","0.65","NaN","0.58","NaN","0.55","NaN","0.60","NaN","0.54","NaN","22.77"
"369","Almiron","MID","NEW","5","0.64","NaN","0.57","NaN","0.54","NaN","0.59","NaN","0.53","NaN","22.59"
"136","Loftus-Cheek","MID","CHE","5","0.56","NaN","0.54","NaN","0.58","NaN","0.59","NaN","0.57","NaN","21.27"
"218","Muniz","FWD","FUL","5.5","0.51","NaN","0.54","NaN","0.58","NaN","0.51","NaN","0.55","NaN","20.75"
"188","Mina","DEF","EVE","4.5","0.51","NaN","0.53","NaN","0.73","NaN","0.58","NaN","0.56","NaN","21.27"
"203","N Chalobah","MID","FUL","4.5","0.51","NaN","0.53","NaN","0.55","NaN","0.51","NaN","0.54","NaN","20.14"
"355","Dubravka","GK","NEW","4.5","0.60","NaN","0.52","NaN","0.42","NaN","0.54","NaN","0.41","NaN","19.60"
"143","M Sarr","DEF","CHE","5","0.57","NaN","0.49","NaN","0.53","NaN","0.57","NaN","0.55","NaN","20.64"
"155","Benteke","FWD","CRY","5.5","0.55","NaN","0.49","NaN","0.58","NaN","0.47","NaN","0.59","NaN","21.27"
"149","Gilmour","MID","CHE","4.5","0.50","NaN","0.49","NaN","0.51","NaN","0.52","NaN","0.51","NaN","19.18"
"438","Reguilon","DEF","TOT","4.5","0.72","NaN","0.45","NaN","0.73","NaN","0.66","NaN","0.56","NaN","23.02"
"87","Ghoddos","MID","BRE","5","0.42","NaN","0.43","NaN","0.42","NaN","0.45","NaN","0.41","NaN","15.97"
"400","Walcott","MID","SOU","5","0.37","NaN","0.43","NaN","0.39","NaN","0.40","NaN","0.38","NaN","14.97"
"1","Cedric","DEF","ARS","4.5","0.41","NaN","0.42","NaN","0.43","NaN","0.45","NaN","0.43","NaN","15.05"
"462","Masuaku","DEF","WHU","4.5","0.28","NaN","0.41","NaN","0.42","NaN","0.36","NaN","0.34","NaN","14.37"
"125","Enciso","FWD","BHA","5","0.35","NaN","0.38","NaN","0.36","NaN","0.44","NaN","0.38","NaN","14.10"
"257","Amartey","DEF","LEI","4.5","0.53","NaN","0.37","NaN","0.53","NaN","0.34","NaN","0.43","NaN","17.13"
"164","Riedewald","MID","CRY","4.5","0.41","NaN","0.37","NaN","0.42","NaN","0.37","NaN","0.43","NaN","15.61"
"208","Kongolo","DEF","FUL","4","0.24","NaN","0.37","NaN","0.41","NaN","0.27","NaN","0.39","NaN","12.88"
"260","Perez","MID","LEI","5","0.43","NaN","0.36","NaN","0.44","NaN","0.35","NaN","0.41","NaN","15.10"
"291","C Jones","MID","LIV","5","0.34","NaN","0.35","NaN","0.33","NaN","0.37","NaN","0.34","NaN","12.89"
"241","Bate","MID","LEE","4.5","0.35","NaN","0.34","NaN","0.33","NaN","0.33","NaN","0.35","NaN","12.73"
"441","Skipp","MID","TOT","4.5","0.36","NaN","0.33","NaN","0.36","NaN","0.35","NaN","0.35","NaN","13.34"
"504","Malacia","DEF","MUN","4.5","0.36","NaN","0.33","NaN","0.25","NaN","0.33","NaN","0.30","NaN","12.38"
"252","N Mendy","MID","LEI","4.5","0.35","NaN","0.33","NaN","0.36","NaN","0.32","NaN","0.34","NaN","12.93"
"5","Holding","DEF","ARS","4.5","0.33","NaN","0.33","NaN","0.34","NaN","0.35","NaN","0.34","NaN","11.87"
"83","Dasilva","MID","BRE","4.5","0.32","NaN","0.33","NaN","0.33","NaN","0.35","NaN","0.32","NaN","12.46"
"485","Cundle","MID","WOL","4.5","0.32","NaN","0.33","NaN","0.30","NaN","0.32","NaN","0.32","NaN","11.93"
"216","Onomah","MID","FUL","4.5","0.31","NaN","0.33","NaN","0.34","NaN","0.31","NaN","0.33","NaN","12.43"
"124","Mitoma","MID","BHA","5","0.30","NaN","0.33","NaN","0.31","NaN","0.37","NaN","0.32","NaN","12.17"
"151","Ampadu","DEF","CHE","4.5","0.35","NaN","0.31","NaN","0.34","NaN","0.36","NaN","0.35","NaN","12.96"
"41","Nakamba","MID","AVL","4.5","0.31","NaN","0.31","NaN","0.30","NaN","0.31","NaN","0.29","NaN","11.48"
"383","Cafu","MID","NFO","4.5","0.28","NaN","0.30","NaN","0.29","NaN","0.29","NaN","0.27","NaN","10.99"
"129","Alonso","DEF","CHE","5.5","0.33","NaN","0.29","NaN","0.33","NaN","0.35","NaN","0.33","NaN","12.22"
"4","Elneny","MID","ARS","4.5","0.28","NaN","0.29","NaN","0.29","NaN","0.30","NaN","0.29","NaN","10.69"
