Name,ID,Team,Position,Cost,OfficialFPLSite,theFPLKiwi,FPLReview,Average
Pablo Marí,20,ARS,DEF,4.5,2.3,0.04,0.0,0.7799999999999999
Tete,215,FUL,DEF,4.5,0.3,0.63,1.4,0.7766666666666666
Delap,323,MCI,FWD,4.5,2.0,0.0,0.33,0.7766666666666666
Palmer,316,MCI,MID,4.5,2.0,0.0,0.31,0.77
Strakosha,517,BRE,GK,4.5,2.2,0.1,0.01,0.77
Benteke,155,CRY,FWD,5.5,1.0,0.55,0.76,0.77
Patterson,197,EVE,DEF,4.0,0.5,1.7,0.07,0.7566666666666666
Mendy,252,LEI,MID,4.5,1.0,0.35,0.91,0.7533333333333334
Barkley,131,CHE,MID,5.0,2.0,0.18,0.05,0.7433333333333333
Milivojevic,158,CRY,MID,4.5,0.5,0.77,0.93,0.7333333333333334
Dembélé,74,BOU,MID,5.0,1.0,0.26,0.92,0.7266666666666667
El Ghazi,51,AVL,MID,5.0,2.0,0.18,0.0,0.7266666666666667
André Gomes,184,EVE,MID,4.5,0.5,0.23,1.44,0.7233333333333333
Ortega,324,MCI,GK,4.0,2.0,0.13,0.0,0.71
Johnson,471,WHU,DEF,4.5,0.8,0.76,0.57,0.71
McAtee,317,MCI,MID,4.5,2.0,0.0,0.12,0.7066666666666667
Rothwell,505,BOU,MID,5.0,1.0,0.15,0.97,0.7066666666666667
James,231,LEE,MID,6.0,0.0,2.11,0.0,0.7033333333333333
Gilmour,149,CHE,MID,4.5,1.5,0.5,0.1,0.7
Ajer,84,BRE,DEF,4.5,0.0,1.89,0.2,0.6966666666666665
Ayling,222,LEE,DEF,4.5,0.3,1.23,0.54,0.6900000000000001
Wilson-Esbrand,322,MCI,DEF,4.0,2.0,0.0,0.07,0.69
Canós,82,BRE,DEF,5.0,0.0,2.06,0.0,0.6866666666666666
Nelson,23,ARS,MID,5.0,2.0,0.05,0.01,0.6866666666666665
Marquinhos,27,ARS,MID,5.0,2.0,0.05,0.0,0.6833333333333332
Ojeda,396,NFO,MID,4.5,0.5,0.07,1.47,0.6799999999999999
Mbete,320,MCI,DEF,4.0,2.0,0.0,0.02,0.6733333333333333
Nakamba,41,AVL,MID,4.5,1.5,0.31,0.2,0.67
Walcott,400,SOU,MID,5.0,1.0,0.37,0.64,0.67
Carson,502,MCI,GK,4.0,2.0,0.01,0.0,0.6699999999999999
Sambi,18,ARS,MID,4.5,1.5,0.24,0.25,0.6633333333333333
Bazunu,422,SOU,GK,4.5,1.7,0.05,0.23,0.6599999999999999
Butland,162,CRY,GK,4.5,1.7,0.23,0.03,0.6533333333333333
Dallas,226,LEE,DEF,5.0,0.0,1.96,0.0,0.6533333333333333
Sanson,36,AVL,MID,4.5,1.5,0.09,0.35,0.6466666666666666
B.Williams,343,MUN,DEF,4.0,1.5,0.1,0.32,0.64
Marcondes,63,BOU,MID,5.0,1.0,0.27,0.64,0.6366666666666667
Enciso,125,BHA,FWD,5.0,0.8,0.35,0.75,0.6333333333333333
Forshaw,224,LEE,MID,4.5,0.5,1.01,0.31,0.6066666666666667
Djenepo,418,SOU,MID,5.0,1.0,0.54,0.27,0.6033333333333333
Kenedy,138,CHE,DEF,4.0,1.5,0.2,0.07,0.59
Chukwuemeka,48,AVL,MID,4.5,1.5,0.09,0.17,0.5866666666666667
Archer,54,AVL,FWD,4.5,1.5,0.09,0.16,0.5833333333333333
Guilbert,56,AVL,DEF,4.0,1.5,0.08,0.16,0.58
Livramento,419,SOU,DEF,4.5,0.0,1.73,0.0,0.5766666666666667
Sarr,450,TOT,MID,4.5,1.5,0.23,0.0,0.5766666666666667
Arter,378,NFO,MID,4.5,0.5,0.07,1.13,0.5666666666666667
Winks,434,TOT,MID,4.5,1.5,0.15,0.04,0.5633333333333332
Baptiste,94,BRE,MID,4.5,1.0,0.23,0.44,0.5566666666666666
Laryea,392,NFO,DEF,4.5,1.3,0.08,0.28,0.5533333333333333
Stacey,65,BOU,DEF,4.5,1.3,0.14,0.22,0.5533333333333332
Forster,426,TOT,GK,4.0,1.5,0.08,0.07,0.55
Taylor,380,NFO,FWD,4.5,0.5,1.0,0.15,0.5499999999999999
Firpo,239,LEE,DEF,4.5,0.0,1.62,0.0,0.54
Scarlett,447,TOT,FWD,4.5,1.5,0.0,0.12,0.54
Mosquera,494,WOL,DEF,4.0,1.5,0.08,0.03,0.5366666666666666
Bailly,339,MUN,DEF,4.0,1.5,0.01,0.1,0.5366666666666666
Heaton,348,MUN,GK,4.0,1.5,0.08,0.03,0.5366666666666666
Šarkić,492,WOL,GK,4.0,1.5,0.07,0.04,0.5366666666666666
Dummett,362,NEW,DEF,4.0,1.5,0.08,0.02,0.5333333333333333
Olsen,35,AVL,GK,4.0,1.5,0.08,0.02,0.5333333333333333
Turner,24,ARS,GK,4.0,1.5,0.09,0.0,0.53
Stephens,404,SOU,DEF,4.5,1.3,0.12,0.17,0.5299999999999999
Pellistri,347,MUN,MID,4.5,1.5,0.0,0.08,0.5266666666666666
Diallo,416,SOU,MID,4.5,0.5,0.58,0.49,0.5233333333333333
Torreira,22,ARS,MID,4.5,1.5,0.05,0.02,0.5233333333333333
Iroegbunam,49,AVL,MID,4.5,1.5,0.02,0.04,0.52
Philogene-Bidace,55,AVL,MID,4.5,1.5,0.02,0.03,0.5166666666666666
Bryan,206,FUL,DEF,4.5,0.3,0.47,0.77,0.5133333333333333
Tanganga,439,TOT,DEF,4.0,1.5,0.01,0.02,0.51
Rodon,442,TOT,DEF,4.0,1.5,0.01,0.01,0.5066666666666666
Jones,328,MUN,DEF,4.0,1.5,0.01,0.0,0.5033333333333333
Austin,451,TOT,GK,4.0,1.5,0.01,0.0,0.5033333333333333
Devine,452,TOT,MID,4.5,1.5,0.0,0.0,0.5
Moder,117,BHA,MID,4.5,0.0,1.5,0.0,0.5
